year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,DpDt,Dp,u,v,uv
1967,4,15,3,24575.125,8,8,414.0,268,374,69.1404048430416,-99.00477912527731,1006.3932738971023,1014.3932738971023,402500,357.93816391798146,8.0,14.079362411903382,9.509629910136645,1,1,0,0,0,0,0,-1.0107598114311054,-0.13632833069597836,6.7014095130580875,9.697432956992103,11.787667089677331
1967,4,15,6,24575.25,10,10,414.0,268,373,69.17486863537586,-98.3929251873925,1006.6255302694094,1014.6255302694094,434375,371.8411714846597,8.0,14.27152930535304,8.516436345902402,1,1,0,0,0,0,0,1.721591198566667,0.2322563723070198,8.062505165894459,1.2773996201671132,8.163071685320295
1967,4,15,9,24575.375,8,8,414.0,268,371,69.23654660702961,-97.16354746583238,1007.6293476320367,1015.6293476320367,496250,397.44343121846424,8.0,13.728489949701341,7.3467251830402525,1,1,0,0,0,0,0,7.437715482306503,1.0038173626273055,16.153662402280247,2.2860925112081345,16.314626197882816
1967,4,15,12,24575.5,9,9,414.0,268,369,69.28849129909283,-95.92750419239017,1009.6515878744701,1015.6515878744701,364375,340.56447961908583,6.0,12.541832639286884,7.38293742617243,1,1,0,0,0,0,0,14.978507194750582,2.0222402424334724,16.202399097504,1.9253287411811404,16.31639136808187
1967,4,15,15,24575.625,9,9,414.0,268,367,69.33063285718876,-94.68589983950271,1010.4369230034688,1016.4369230034688,490625,395.1844985686082,6.0,11.905192568258581,5.2676246722228095,1,1,0,0,0,0,0,5.815273801851572,0.7853351289987041,16.24362812841154,1.5619758203880227,16.318554569495408
1967,4,15,18,24575.75,8,8,414.0,268,364,69.37534276624076,-92.81555668421123,1012.2216760959328,1016.2216760959328,335625,326.8528041036741,4.0,10.788338624477273,3.693864477467214,1,1,0,0,0,0,0,13.211909387146255,1.7847530924639432,24.418123150614655,1.6571716857743437,24.474291740410294
1967,4,15,21,24575.875,8,8,414.0,267,361,69.16994191211754,-90.92903931942206,1013.8903232669614,1017.8903232669614,440625,374.5067337174764,4.0,10.164378576647307,4.96157109071115,1,1,0,0,0,0,0,12.369185938687348,1.6686471710287152,24.863707320144886,-7.613177635653669,26.00316164265114
1967,4,16,0,24576.0,11,11,414.0,267,357,69.16501629828875,-88.45184230102204,1015.7870573437211,1017.7870573437211,275625,296.19953136257203,2.0,9.150470244953523,2.2847320512483567,1,1,0,0,0,0,0,14.060386372816284,1.8967340767596033,32.65512381312959,-0.182567756124488,32.65563415762125
1967,4,16,3,24576.125,11,11,414.0,269,354,69.59024524453164,-86.52221348020184,1016.8047432527327,1018.8047432527327,290625,304.15261082582236,2.0,8.623857809547713,1.7730303828188334,1,1,0,0,0,0,0,7.523009551771802,1.0176859090116341,24.940823535269043,15.761100494874169,29.50350771394739
1967,4,16,6,24576.25,9,9,414.0,262,344,67.75263106692353,-80.96703030102891,1016.9995942373004,1016.9995942373004,625,14.104739588693906,0.0,7.665885959627487,2.1160867745937866,1,1,0,0,0,0,0,1.4585443374238434,0.1948509845676017,77.92987381985435,-68.11112456004535,103.49971266826027
1967,4,16,9,24576.375,9,9,414.0,262,344,67.75263106692353,-80.96703030102891,,,0,0.0,,7.665885959627487,,0,0,0,0,3,0,0,,0.0,0.0,0.0,0.0
