year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,Dp,u,v,uv,DpDt
1956,12,3,6,20790.25,9,9,43,503,336,56.96388763407438,80.69962133900093,1010.7200565531258,1024.7200565531257,2198125,836.4717081693468,14.0,20.226886780659196,6.170145080718503,1,1,0,0,0,0,0,-0.62578659820123,40.604829394328284,-0.7761293469199416,40.6122462676673,-5.171700395043725
1956,12,3,9,20790.375,10,10,43,504,342,56.93008660689466,83.09469370140614,1010.103704913686,1022.103704913686,1161875,608.1416767578027,12.0,20.659006247950483,5.296697199261907,1,1,0,0,0,0,0,-0.6163516394398175,48.43773800046318,-1.25283424591985,48.453937468994866,-5.0956826748315915
1956,12,3,12,20790.5,9,9,43,503,346,57.262984859360316,84.62562262767563,1011.2456917644039,1023.2456917644039,1503750,691.8514951554815,12.0,19.740958930462515,4.5523777930403595,1,1,0,0,0,0,0,1.141986850717949,30.685508333860277,12.338865587673506,33.07337336435584,9.405941815288191
1956,12,3,15,20790.625,12,12,43,504,350,57.10424586146346,86.23856252298467,1010.5720900206895,1022.5720900206895,1321250,648.5113238181223,12.0,19.76198692851152,5.142741014626591,1,1,0,0,0,0,0,-0.6736017437143892,32.46843628675462,-5.8836570755910165,32.997223754282665,-5.558022466689388
1956,12,3,18,20790.75,11,11,43,504,354,57.152767641417334,87.82024400825848,1011.326225482901,1023.326225482901,1451250,679.6669936992866,12.0,18.4898236609357,4.931406908965219,1,1,0,0,0,0,0,0.7541354622115614,31.79753556255113,1.7984585875451422,31.84835507750469,6.219117825329006
1956,12,3,21,20790.875,9,9,43,504,357,57.1721940404066,89.00882242498922,1011.2036000215614,1023.2036000215614,1469375,683.8980837897614,12.0,17.50952302745831,5.7390571832786375,1,1,0,0,0,0,0,-0.12262546133963043,23.88242082846101,0.720039003526545,23.89327270999743,-1.011032330136387
1956,12,4,0,20791.0,9,9,43,504,360,57.17705222289484,90.1982545011992,1010.8354061627723,1024.8354061627722,1786875,754.1750313253953,14.0,18.206999352582955,6.636486332682178,1,1,0,0,0,0,0,-0.36819385878916366,23.896431955086037,0.18006841513481853,23.89711038636651,-3.035548490886808
1956,12,4,3,20791.125,11,11,43,514,358,54.82766561274982,89.44374777291934,1010.6014755166105,1024.6014755166104,1646250,723.8906340947266,14.0,16.97450244429365,5.867315159750724,1,1,0,0,0,0,0,-0.23393064616175252,-16.10926163097412,-87.079957258261,88.5574800138065,-1.9827173776500422
1956,12,4,6,20791.25,10,10,43,515,360,54.5935323953069,90.18423016737506,1010.7069919052045,1018.7069919052045,790625,501.6609948601341,8.0,16.640254575820748,6.218174681237797,1,1,0,0,0,0,0,0.10551638859396917,15.901380703892702,-8.678141979539985,18.115298962677524,0.8969116765494662
1956,12,4,9,20791.375,8,8,43,512,370,55.21526409245954,93.9387390838512,1011.5906242470711,1017.5906242470711,475000,388.8408362521876,6.0,15.103499610420887,9.750846539326957,1,1,0,0,0,0,0,0.8836323418666143,79.38091783861971,23.04447015249484,82.65819815064273,7.4540062447174025
1956,12,4,12,20791.5,8,8,43,512,370,55.21526409245954,93.9387390838512,,,0,0.0,,15.103499610420887,,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,
