"","Year","Variable","Val","Loc","N","season","Intercept"
"95",1991,"Bot_salinity",0.0108845040998646,"MAB",180,"summer",32.9656475497197
"96",1992,"Bot_salinity",-0.225336680099035,"MAB",143,"summer",32.9656475497197
"97",1993,"Bot_salinity",-0.0489237298512956,"MAB",217,"summer",32.9656475497197
"98",1994,"Bot_salinity",0.427719543902319,"MAB",278,"summer",32.9656475497197
"99",1995,"Bot_salinity",0.142576099489212,"MAB",122,"summer",32.9656475497197
"100",1996,"Bot_salinity",-0.684028355113935,"MAB",493,"summer",32.9656475497197
"101",1997,"Bot_salinity",-0.0553076369076955,"MAB",644,"summer",32.9656475497197
"102",1998,"Bot_salinity",-0.808749680368834,"MAB",144,"summer",32.9656475497197
"103",1999,"Bot_salinity",0.573263534044932,"MAB",229,"summer",32.9656475497197
"104",2000,"Bot_salinity",0.00756069407960224,"MAB",278,"summer",32.9656475497197
"105",2001,"Bot_salinity",0.0707096232478159,"MAB",170,"summer",32.9656475497197
"106",2002,"Bot_salinity",0.261171630797665,"MAB",234,"summer",32.9656475497197
"107",2003,"Bot_salinity",0.240930356405644,"MAB",143,"summer",32.9656475497197
"108",2004,"Bot_salinity",-0.364024393085682,"MAB",299,"summer",32.9656475497197
"109",2005,"Bot_salinity",-0.359032758748477,"MAB",234,"summer",32.9656475497197
"110",2006,"Bot_salinity",0.0148571773739327,"MAB",271,"summer",32.9656475497197
"111",2007,"Bot_salinity",-0.0393904810288697,"MAB",255,"summer",32.9656475497197
"112",2008,"Bot_salinity",0.270651718706402,"MAB",251,"summer",32.9656475497197
"113",2009,"Bot_salinity",0.0585277499374788,"MAB",217,"summer",32.9656475497197
"114",2010,"Bot_salinity",-0.0290466437235863,"MAB",116,"summer",32.9656475497197
"115",2011,"Bot_salinity",-0.340196759019144,"MAB",170,"summer",32.9656475497197
"116",2012,"Bot_salinity",0.38828875691146,"MAB",229,"summer",32.9656475497197
"117",2013,"Bot_salinity",0.200166965606412,"MAB",222,"summer",32.9656475497197
"118",2014,"Bot_salinity",0.394525966008651,"MAB",130,"summer",32.9656475497197
"119",2015,"Bot_salinity",0.476277254999283,"MAB",160,"summer",32.9656475497197
"120",2016,"Bot_salinity",0.118155623814373,"MAB",203,"summer",32.9656475497197
"121",2018,"Bot_salinity",-0.193804406563798,"MAB",237,"summer",32.9656475497197
"122",2019,"Bot_salinity",-0.0904899886714849,"MAB",225,"summer",32.9656475497197
"123",2021,"Bot_salinity",0.519493901603307,"MAB",240,"summer",32.9656475497197
"124",2022,"Bot_salinity",0.318801134927974,"MAB",138,"summer",32.9656475497197
"125",2024,"Bot_salinity",-0.522485536327002,"MAB",39,"summer",32.9656475497197
"126",1975,"Bot_salinity",-0.316603266790822,"MAB",74,"fall",33.1392935809334
"127",1977,"Bot_salinity",0.111636572545549,"MAB",72,"fall",33.1392935809334
"128",1983,"Bot_salinity",-0.374607958706697,"MAB",15,"fall",33.1392935809334
"129",1984,"Bot_salinity",0.233470102612949,"MAB",43,"fall",33.1392935809334
"130",1985,"Bot_salinity",0.42906156263622,"MAB",5,"fall",33.1392935809334
"131",1987,"Bot_salinity",-0.447849543619604,"MAB",68,"fall",33.1392935809334
"132",1988,"Bot_salinity",0.168852830044875,"MAB",28,"fall",33.1392935809334
"133",1989,"Bot_salinity",-0.311030381205074,"MAB",23,"fall",33.1392935809334
