YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 31 02 352 12.9 16.1  1.65  5.00  4.38 356 1033.6    .0   6.3  -7.5 99.0
1999 01 31 03 353 12.9 15.8  1.72  5.26  4.49   1 1034.6   -.4   6.3  -9.2 99.0
1999 01 31 04 350 13.5 17.1  1.79  5.26  4.63   1 1035.0  -1.0   6.3 -10.2 99.0
1999 01 31 05 356 13.1 16.1 99.00 99.00 99.00 999 1035.1  -1.9   6.3 -12.6 99.0
1999 01 31 06 356 12.9 16.0  1.98  5.88  4.81  12 1035.5  -2.6   6.3 -11.7 99.0
1999 01 31 07  11 12.9 18.5  2.27  5.88  5.02  11 1036.1  -3.5   6.3 -12.8 99.0
1999 01 31 08  10 12.5 15.3  2.08  6.25  4.92  31 1036.8  -4.6   6.3 -14.0 99.0
1999 01 31 09  12 10.8 13.4  2.01  5.88  4.95  27 1037.7  -5.4   6.3 -13.7 99.0
1999 01 31 10   8 10.0 13.0  1.76  5.88  4.76  47 1038.2  -5.5   6.3 -12.1 99.0
1999 01 31 11   3  9.2 12.0  1.49  5.26  4.67  44 1040.9  -6.0   6.2 -13.0 99.0
1999 01 31 12  16  9.7 12.1  1.62  6.67  4.72  68 1041.2  -6.0   6.0 -13.4 99.0
1999 01 31 13  16 10.2 12.7  1.61  6.67  4.79  66 1042.1  -6.1   6.0 -13.3 99.0
1999 01 31 14  11  8.9 11.8  1.69  7.14  4.82  65 1042.7  -6.3   6.0 -12.5 99.0
1999 01 31 15  11  8.0  9.9  1.65  7.14  4.93  70 1043.8  -6.2   6.0 -12.2 99.0
1999 01 31 16  11  7.1  9.0  1.48  6.25  4.82  67 1044.3  -6.1   6.0 -12.6 99.0
1999 01 31 17  16  6.9  9.0  1.40  6.67  4.81  64 1043.9  -5.5   5.9 -13.6 99.0
1999 01 31 18  18  6.6  8.5  1.25  6.67  4.84  74 1042.9  -4.7   5.9 -12.9 99.0
1999 01 31 19  24  6.3  8.8  1.26  6.67  5.03  74 1042.3  -4.2   5.9 -13.8 99.0
1999 01 31 20  23  5.3  7.0  1.34  6.25  5.10  70 1042.2  -3.5   5.9 -13.0 99.0
1999 01 31 21  17  3.3  4.9  1.15  7.69  5.00  82 1041.4  -2.9   5.9 -13.7 99.0
1999 01 31 22   7  3.6  5.0  1.12  6.67  5.15  79 1041.4  -2.4   5.9 -14.2 99.0
1999 01 31 23 344  2.8  4.2  1.14  6.25  5.37  78 1041.2  -2.3   5.9 -15.7 99.0
1999 02 01 00 360  2.1  3.8 99.00 99.00 99.00 999 1040.8  -2.0   5.8 -14.7 99.0
1999 02 01 01   3  2.0  3.0  1.04  8.33  5.74  86 1040.6  -1.6   5.8 -15.8 99.0
1999 02 01 02 313  1.0  2.0  1.01  7.69  5.62  87 1039.8  -1.5   5.6 -15.6 99.0
1999 02 01 03 324  2.0  3.1   .89  9.09  5.85  88 1039.2  -1.2   5.6 -14.5 99.0
1999 02 01 04 332  1.7  2.8   .87  8.33  5.88  88 1038.5  -1.1   5.6 -13.4 99.0
1999 02 01 05 278  2.2  3.2   .94  8.33  6.34  89 1038.1   -.8   5.6 -12.9 99.0
1999 02 01 06 267  4.8  6.4 99.00 99.00 99.00 999 1037.5   -.6   5.6 -10.1 99.0
1999 02 01 07 259  7.1  8.7   .98  9.09  6.67  93 1037.3   -.3   5.6 -10.1 99.0
1999 02 01 08 262  8.0  9.8  1.15  9.09  5.47  91 1036.5   -.3   5.8 -11.4 99.0
1999 02 01 09 272  7.9  9.3  1.20  9.09  5.00  85 1036.0   -.4   5.9 -10.9 99.0
1999 02 01 10 265  7.1  8.5  1.17  9.09  5.09  85 1035.1   -.4   5.9 -10.8 99.0
1999 02 01 11 263  8.3  9.8  1.24  9.09  4.79  81 1034.9   -.3   5.9  -9.0 99.0
1999 02 01 12 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 02 01 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 02 01 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 02 01 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 02 01 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 02 01 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
