YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
93 01 04 11 214 07.3 09.2 00.90 04.80 04.10 145 1027.9  08.6  06.6 999.0 14.5
93 01 04 12 214 07.2 09.0 00.90 05.00 04.00 135 1028.1  08.7  06.6 999.0 13.5
93 01 04 13 214 07.2 09.6 01.00 04.80 04.10 183 1027.8  08.6  06.6 999.0 18.3
93 01 04 14 215 07.8 09.9 01.30 04.80 04.40 188 1028.1  08.7  06.6 999.0 18.8
93 01 04 15 210 08.9 10.2 01.40 05.00 04.30 183 1027.8  09.1  06.6 999.0 18.3
93 01 04 16 201 08.4 10.3 01.40 05.00 04.40 192 1026.9  09.4  06.6 999.0 19.2
93 01 04 17 199 09.4 11.4 01.30 05.00 04.20 189 1025.4  09.5  06.6 999.0 18.9
93 01 04 18 205 08.5 10.1 01.30 05.00 04.20 192 1024.6  09.8  06.7 999.0 19.2
93 01 04 19 199 08.6 10.4 01.20 04.80 04.20 201 1024.1  10.0  06.7 999.0 20.1
93 01 04 20 199 07.6 08.7 01.20 04.50 04.10 198 1023.8  09.8  06.7 999.0 19.8
93 01 04 21 195 09.8 11.4 01.30 04.80 04.30 209 1023.0  10.5  06.7 999.0 20.9
93 01 04 22 196 09.7 11.4 01.50 05.00 04.40 205 1022.6  10.5  06.7 999.0 20.5
93 01 04 23 191 10.4 12.1 01.60 05.30 04.50 207 1022.2  10.5  06.7 999.0 20.7
93 01 05 00 191 11.4 13.2 01.70 05.60 04.70 207 1021.6  11.0  06.7 999.0 20.7
93 01 05 01 191 10.9 13.1 01.70 05.60 04.60 200 1021.0  11.0  06.7 999.0 20.0
93 01 05 02 190 09.7 12.0 01.80 05.60 04.80 207 1020.6  11.0  06.7 999.0 20.7
93 01 05 03 185 09.5 11.2 01.80 05.90 04.80 197 1019.8  10.6  06.7 999.0 19.7
93 01 05 04 190 09.7 11.2 01.60 05.90 04.60 181 1019.0  11.2  06.7 999.0 18.1
93 01 05 05 186 09.8 11.8 01.70 05.90 04.60 180 1017.8  10.9  06.7 999.0 18.0
93 01 05 06 188 10.9 13.0 01.90 05.90 04.80 194 1016.7  11.3  06.7 999.0 19.4
93 01 05 07 182 09.3 11.0 01.70 05.90 04.70 198 1016.1  11.0  06.7 999.0 19.8
93 01 05 08 180 09.7 11.7 01.60 05.60 04.70 208 1014.5  11.0  06.7 999.0 20.8
93 01 05 09 184 10.8 13.0 01.80 05.60 04.60 201 1013.0  11.3  06.7 999.0 20.1
93 01 05 10 185 11.2 13.8 02.00 06.20 05.00 185 1012.1  11.7  06.7 999.0 18.5
93 01 05 11 180 11.3 13.1 02.10 06.20 05.00 187 1011.0  11.7  06.7 999.0 18.7
93 01 05 12 186 12.4 16.4 02.10 06.20 05.10 195 1009.8  11.8  07.0 999.0 19.5
93 01 05 13 190 14.6 17.6 02.50 06.70 05.30 197 1009.3  12.1  07.1 999.0 19.7
93 01 05 14 180 13.0 16.9 02.70 07.10 05.70 193 1008.1  11.9  07.1 999.0 19.3
93 01 05 15 201 12.9 15.6 03.00 07.10 05.60 186 1009.1  11.3  07.2 999.0 18.6
93 01 05 16 206 09.0 10.7 02.80 07.10 05.70 186 1009.1  10.7  07.2 999.0 18.6
93 01 05 17 211 09.5 11.4 02.50 07.70 05.80 165 1009.6  10.5  07.4 999.0 16.5
93 01 05 18 222 08.2 09.7 02.50 08.30 05.80 147 1009.7  10.2  07.4 999.0 14.7
93 01 05 19 232 07.5 08.9 02.50 08.30 05.90 133 1010.0  10.5  07.4 999.0 13.3
93 01 05 20 230 06.7 07.8 02.20 08.30 06.00 151 1010.7  11.0  07.4 999.0 15.1
93 01 05 21 252 05.3 06.3 02.30 09.10 06.10 172 1012.5  10.7  07.4 999.0 17.2
93 01 05 22 291 05.6 06.7 02.20 09.10 06.40 183 1014.3  11.0  07.4 999.0 18.3
93 01 05 23 311 08.0 10.6 02.40 10.00 07.00 169 1015.8  11.0  07.4 999.0 16.9
93 01 06 00 309 06.5 08.5 02.50 10.00 06.40 180 1018.2  09.8  07.4 999.0 18.0
93 01 06 01 314 07.6 10.2 02.60 10.00 06.80 182 1019.1  09.5  07.4 999.0 18.2
93 01 06 02 329 10.2 13.0 02.40 10.00 06.70 191 1019.9  08.7  07.4 999.0 19.1
93 01 06 03 314 08.5 10.5 02.20 10.00 06.30 197 1021.2  07.5  07.4 999.0 19.7
93 01 06 04 321 07.8 09.8 02.20 10.00 06.40 201 1022.1  07.1  07.4 999.0 20.1
93 01 06 05 320 06.8 08.6 02.10 10.00 06.20 197 1022.7  06.7  07.4 999.0 19.7
93 01 06 06 333 08.1 10.4 02.00 10.00 06.50 200 1022.9  06.4  07.4 999.0 20.0
93 01 06 07 345 08.2 09.9 01.90 10.00 06.80 189 1022.9  06.0  07.4 999.0 18.9
93 01 06 08 356 06.4 08.0 01.90 10.00 07.00 187 1023.9  05.9  07.4 999.0 18.7
93 01 06 09 012 05.8 07.3 01.50 10.00 06.00 171 1023.6  05.1  07.2 999.0 17.1
93 01 06 10 019 06.4 08.1 01.80 10.00 06.70 162 1022.9  04.7  07.1 999.0 16.2
93 01 06 11 028 04.7 05.8 01.60 10.00 06.20 153 1024.2  04.7  07.1 999.0 15.3
93 01 06 12 044 04.3 05.7 01.50 10.00 06.30 139 1024.5  04.5  07.1 999.0 13.9
93 01 06 13 067 04.9 06.2 01.40 09.10 06.60 143 1024.2  04.8  07.4 999.0 14.3
93 01 06 14 045 03.2 04.5 01.50 09.10 06.60 137 1025.7  05.1  07.4 999.0 13.7
93 01 06 15 069 02.3 03.1 01.30 10.00 06.90 129 1025.4  05.5  07.4 999.0 12.9
93 01 06 16 034 01.7 02.8 01.20 10.00 06.90 162 1024.9  05.8  07.5 999.0 16.2
93 01 06 17 345 03.4 04.7 01.20 10.00 07.20 150 1023.4  05.7  07.5 999.0 15.0
93 01 06 18 356 02.3 03.4 01.10 10.00 07.00 196 1023.0  05.5  07.5 999.0 19.6
93 01 06 19 329 04.2 05.7 01.30 09.10 07.20 173 1022.6  05.2  07.5 999.0 17.3
93 01 06 20 336 03.6 04.6 01.10 09.10 06.70 188 1022.3  05.1  07.5 999.0 18.8
93 01 06 21 324 04.2 05.8 01.20 10.00 07.20 180 1021.8  05.6  07.5 999.0 18.0
93 01 06 22 311 03.5 04.7 01.10 09.10 06.80 150 1022.4  05.2  07.5 999.0 15.0
93 01 06 23 008 05.7 07.0 01.00 09.10 06.90 173 1022.7  05.5  07.5 999.0 17.3
93 01 07 00 353 04.7 05.7 01.10 09.10 07.20 167 1023.3  05.5  07.5 999.0 16.7
93 01 07 01 006 04.3 05.7 01.00 09.10 05.70 162 1023.9  05.2  07.5 999.0 16.2
93 01 07 02 017 03.9 05.7 01.00 09.10 06.10 138 1024.1  05.1  07.4 999.0 13.8
93 01 07 03 012 04.0 05.2 01.10 10.00 06.50 142 1023.7  05.1  07.4 999.0 14.2
93 01 07 04 003 03.1 04.4 01.00 08.30 06.70 171 1023.3  05.2  07.2 999.0 17.1
93 01 07 05 349 03.0 03.9 00.90 09.10 06.90 164 1023.0  05.2  07.1 999.0 16.4
93 01 07 06 319 02.1 03.0 00.90 09.10 06.90 138 1023.7  05.3  07.1 999.0 13.8
93 01 07 07 341 01.5 02.2 00.90 08.30 06.90 123 1023.9  05.2  07.1 999.0 12.3
93 01 07 08 356 01.8 02.6 01.00 09.10 07.20 150 1024.0  05.2  07.1 999.0 15.0
93 01 07 09 353 01.8 02.9 01.00 08.30 07.20 188 1023.9  05.4  07.1 999.0 18.8
93 01 07 10 007 02.7 03.8 00.90 08.30 06.90 199 1023.7  05.2  07.1 999.0 19.9
93 01 07 11 036 03.2 04.8 00.90 08.30 07.20 151 1023.6  05.2  07.1 999.0 15.1
93 01 07 12 047 03.0 03.8 00.80 08.30 07.40 126 1024.1  05.5  07.1 999.0 12.6
93 01 07 13 047 02.7 03.6 00.90 08.30 07.60 119 1024.1  05.2  07.1 999.0 11.9
93 01 07 14 040 03.0 04.4 00.70 08.30 07.40 111 1025.1  05.5  07.4 999.0 11.1
93 01 07 15 058 03.8 05.1 00.60 09.10 07.00 105 1025.4  05.5  07.4 999.0 10.5
93 01 07 16 056 03.8 04.5 00.90 09.10 07.40 116 1024.7  05.6  07.4 999.0 11.6
93 01 07 17 058 03.1 04.2 00.70 08.30 06.70 158 1023.8  05.6  07.4 999.0 15.8
93 01 07 18 069 03.3 04.7 00.80 09.10 07.00 136 1022.6  05.6  07.4 999.0 13.6
93 01 07 19 069 02.4 03.2 00.80 08.30 07.00 147 1022.2  05.6  07.4 999.0 14.7
93 01 07 20 038 02.0 02.9 00.70 08.30 06.60 157 1021.9  05.8  07.4 999.0 15.7
93 01 07 21 041 02.0 02.6 00.60 08.30 06.20 126 1022.0  05.8  07.4 999.0 12.6
93 01 07 22 090 02.3 02.9 00.80 08.30 06.30 143 1021.5  05.8  07.4 999.0 14.3
93 01 07 23 024 01.2 01.8 00.70 08.30 06.10 119 1021.7  05.6  07.4 999.0 11.9
93 01 08 00 097 03.5 04.5 00.60 09.10 06.40 121 1020.8  05.8  07.4 999.0 12.1
93 01 08 01 088 02.4 03.2 00.70 08.30 06.60 149 1020.8  06.2  07.4 999.0 14.9
93 01 08 02 101 02.1 02.8 00.70 08.30 06.60 145 1020.7  06.3  07.4 999.0 14.5
93 01 08 03 051 00.8 01.4 00.70 08.30 06.70 136 1020.7  06.3  07.4 999.0 13.6
93 01 08 04 019 01.4 01.9 00.60 07.70 06.70 160 1020.1  06.3  07.4 999.0 16.0
93 01 08 05 016 01.8 02.4 00.70 09.10 06.60 179 1019.6  06.3  07.4 999.0 17.9
93 01 08 06 020 01.8 02.3 00.70 08.30 06.60 156 1018.9  06.3  07.1 999.0 15.6
93 01 08 07 015 02.3 02.8 00.80 07.70 06.20 163 1018.7  06.3  07.1 999.0 16.3
93 01 08 08 031 02.9 03.4 00.80 07.70 06.20 172 1017.8  06.3  07.1 999.0 17.2
93 01 08 09 022 03.7 04.3 00.70 08.30 05.90 151 1017.5  06.3  07.1 999.0 15.1
93 01 08 10 028 04.0 05.0 00.70 07.10 06.20 163 1016.7  06.0  07.1 999.0 16.3
93 01 08 11 034 04.8 05.8 00.80 07.70 06.40 148 1016.5  05.9  07.1 999.0 14.8
