YEAR,SUB_REG,ST,SP_CODE,MODE_FX,AREA_X,ESTCLAIM,ESTCLVAR,ESTHARV,ESTHVAR,LANDING,LAND_VAR,ESTREL,ESTRLVAR,TOT_CAT,TOT_VAR,LBS_AB1,VAR_LBS,WGT_AB1,VAR_WAB1,MISS_FISH,ALT_FLAG,wave,MODE,AREA,STATUS,DOWNLOAD
1981,5,36,8708020401,6,2,32.532430369,1074.0001217,317.89014888,84882.335335,350.42257925,87469.057297,2799.893186,5292941.2536,3150.3157652,5683867.8351,947.11185286,608501.09341,429.60711824,125199.25851,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8708020401,6,5,0,0,0,0,0,0,5860.3604406,37628032.446,5860.3604406,37628032.446,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8708020501,6,2,0,0,0,0,0,0,5721.6579688,27113892.706,5721.6579688,27113892.706,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8708020502,6,2,0,0,155.70411948,24668.943025,155.70411948,24668.943025,0,0,155.70411948,24668.943025,0,0,0,0,155.70411948,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8708020601,6,1,2440.4204541,5693567.5199,0,0,2440.4204541,5693567.5199,5462.9332709,28530340.446,7903.3537251,59714252.781,188305.28266,33898475721,85414.715895,6974620211.8,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8708020601,6,2,1223.1499757,1527853.3257,0,0,1223.1499757,1527853.3257,0,0,1223.1499757,1527853.3257,98009.455093,9809755680.7,44456.797194,2018359787.2,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8708020801,6,1,850.82381922,716440.27756,0,0,850.82381922,716440.27756,0,0,850.82381922,716440.27756,158405.0769,24833555734,71852.071533,5109510562.6,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8710010000,6,2,0,0,0,0,0,0,141.72587708,24592.374567,141.72587708,24592.374567,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8710010201,6,2,551.40596948,276630.07024,157822.28755,18597463612,158373.69352,18598431817,2031.5978805,2543936.5585,160405.2914,18598763437,2082859.125,3.2542042E12,944778.70136,669553352239,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8713040100,6,1,0,0,0,0,0,0,7.9896685739,78.743869977,7.9896685739,78.743869977,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8713040100,6,2,0,0,31.140823896,986.76007557,31.140823896,986.76007557,0,0,31.140823896,986.76007557,48.057142254,2349.9967181,21.798576728,483.51243703,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8713040124,6,2,0,0,0,0,0,0,74.581383891,5531.1872237,74.581383891,5531.1872237,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
