YEAR,MONTH,TYPE,TrackLengthSum_km,YM
2016,Jun,ALLOTHER,56170.80985635628,2016-Jun
2016,Jun,ALLVESSELTYPES,412514.4138744401,2016-Jun
2016,Jun,CARGO,62989.70007368186,2016-Jun
2016,Jun,FISHING,178818.02690106744,2016-Jun
2016,Jun,PASSENGER,13209.584356422238,2016-Jun
2016,Jun,PLEASURECRAFTSAILING,46410.23205032958,2016-Jun
2016,Jun,TANKER,40177.21467806226,2016-Jun
2016,Jun,TUGTOW,0,2016-Jun
2016,Mar,ALLOTHER,14056.278207105606,2016-Mar
2016,Mar,ALLVESSELTYPES,184123.82239417118,2016-Mar
2016,Mar,CARGO,59216.213055921806,2016-Mar
2016,Mar,FISHING,57538.33693124898,2016-Mar
2016,Mar,PASSENGER,4550.956598767817,2016-Mar
2016,Mar,PLEASURECRAFTSAILING,880.0342158571482,2016-Mar
2016,Mar,TANKER,26171.713077632732,2016-Mar
2016,Mar,TUGTOW,1274.688343756199,2016-Mar
2016,May,ALLOTHER,34569.787354527536,2016-May
2016,May,ALLVESSELTYPES,308392.5448121078,2016-May
2016,May,CARGO,65113.3133700338,2016-May
2016,May,FISHING,131361.72686102908,2016-May
2016,May,PASSENGER,10598.546560607047,2016-May
2016,May,PLEASURECRAFTSAILING,19164.36746972148,2016-May
2016,May,TANKER,33473.12379942274,2016-May
2016,May,TUGTOW,308.7188947778642,2016-May
2016,Nov,ALLOTHER,18620.73232246145,2016-Nov
2016,Nov,ALLVESSELTYPES,220117.52593705873,2016-Nov
2016,Nov,CARGO,60228.43709297637,2016-Nov
2016,Nov,FISHING,74939.7485779509,2016-Nov
2016,Nov,PASSENGER,11771.350458839655,2016-Nov
2016,Nov,PLEASURECRAFTSAILING,7416.917079966933,2016-Nov
2016,Nov,TANKER,32695.674041131555,2016-Nov
2016,Nov,TUGTOW,0,2016-Nov
2016,Oct,ALLOTHER,24546.94304652531,2016-Oct
2016,Oct,ALLVESSELTYPES,312513.8928505112,2016-Oct
2016,Oct,CARGO,59222.7826263463,2016-Oct
2016,Oct,FISHING,128192.46039954248,2016-Oct
2016,Oct,PASSENGER,30702.9612826215,2016-Oct
2016,Oct,PLEASURECRAFTSAILING,19965.725614693387,2016-Oct
2016,Oct,TANKER,36589.516678651096,2016-Oct
2016,Oct,TUGTOW,260.82453461170195,2016-Oct
2016,Sep,ALLOTHER,32039.088160560488,2016-Sep
2016,Sep,ALLVESSELTYPES,348283.8463443978,2016-Sep
2016,Sep,CARGO,58042.36821736616,2016-Sep
2016,Sep,FISHING,158920.8489646669,2016-Sep
2016,Sep,PASSENGER,20285.418229459385,2016-Sep
2016,Sep,PLEASURECRAFTSAILING,29809.394548999564,2016-Sep
2016,Sep,TANKER,31563.867687682705,2016-Sep
2016,Sep,TUGTOW,1120.9160449180604,2016-Sep
2017,Apr,ALLOTHER,19348.98492456913,2017-Apr
2017,Apr,ALLVESSELTYPES,235633.4788715346,2017-Apr
2017,Apr,CARGO,60274.32978951293,2017-Apr
2017,Apr,FISHING,110407.1964498379,2017-Apr
