"","Year","Variable","Val","Loc","N"
"708",2000,"GLORYS12_intensity_max_max",2.4732,"MAB",NA
"709",2001,"GLORYS12_intensity_max_max",1.7884,"MAB",NA
"710",2002,"GLORYS12_intensity_max_max",2.2627,"MAB",NA
"711",2003,"GLORYS12_intensity_max_max",0,"MAB",NA
"712",2004,"GLORYS12_intensity_max_max",0,"MAB",NA
"713",2005,"GLORYS12_intensity_max_max",1.1024,"MAB",NA
"714",2006,"GLORYS12_intensity_max_max",2.247,"MAB",NA
"715",2007,"GLORYS12_intensity_max_max",2.5441,"MAB",NA
"716",2008,"GLORYS12_intensity_max_max",0,"MAB",NA
"717",2009,"GLORYS12_intensity_max_max",2.2576,"MAB",NA
"718",2010,"GLORYS12_intensity_max_max",0,"MAB",NA
"719",2011,"GLORYS12_intensity_max_max",2.4308,"MAB",NA
"720",2012,"GLORYS12_intensity_max_max",3.5789,"MAB",NA
"721",2013,"GLORYS12_intensity_max_max",1.8851,"MAB",NA
"722",2014,"GLORYS12_intensity_max_max",2.554,"MAB",NA
"723",2015,"GLORYS12_intensity_max_max",3.7287,"MAB",NA
"724",2016,"GLORYS12_intensity_max_max",2.302,"MAB",NA
"725",2017,"GLORYS12_intensity_max_max",1.9353,"MAB",NA
"726",2018,"GLORYS12_intensity_max_max",0,"MAB",NA
"727",2019,"GLORYS12_intensity_max_max",4.2982,"MAB",NA
"728",2020,"GLORYS12_intensity_max_max",2.599,"MAB",NA
"729",1993,"GLORYS12_intensity_var",0,"MAB",NA
"730",1994,"GLORYS12_intensity_var",0,"MAB",NA
"731",1995,"GLORYS12_intensity_var",0.145,"MAB",NA
"732",1996,"GLORYS12_intensity_var",0,"MAB",NA
"733",1997,"GLORYS12_intensity_var",0.08025,"MAB",NA
"734",1998,"GLORYS12_intensity_var",0,"MAB",NA
"735",1999,"GLORYS12_intensity_var",0.1552,"MAB",NA
"736",2000,"GLORYS12_intensity_var",0.193533333333333,"MAB",NA
"737",2001,"GLORYS12_intensity_var",0.108933333333333,"MAB",NA
"738",2002,"GLORYS12_intensity_var",0.0946,"MAB",NA
"739",2003,"GLORYS12_intensity_var",0,"MAB",NA
"740",2004,"GLORYS12_intensity_var",0,"MAB",NA
"741",2005,"GLORYS12_intensity_var",0.0179,"MAB",NA
"742",2006,"GLORYS12_intensity_var",0.0902857142857143,"MAB",NA
"743",2007,"GLORYS12_intensity_var",0.2855,"MAB",NA
"744",2008,"GLORYS12_intensity_var",0,"MAB",NA
"745",2009,"GLORYS12_intensity_var",0.4104,"MAB",NA
"746",2010,"GLORYS12_intensity_var",0,"MAB",NA
"747",2011,"GLORYS12_intensity_var",0.2657,"MAB",NA
"748",2012,"GLORYS12_intensity_var",0.6672,"MAB",NA
"749",2013,"GLORYS12_intensity_var",0.1635,"MAB",NA
"750",2014,"GLORYS12_intensity_var",0.2808,"MAB",NA
"751",2015,"GLORYS12_intensity_var",0.4588,"MAB",NA
"752",2016,"GLORYS12_intensity_var",0.207625,"MAB",NA
"753",2017,"GLORYS12_intensity_var",0.19625,"MAB",NA
"754",2018,"GLORYS12_intensity_var",0,"MAB",NA
"755",2019,"GLORYS12_intensity_var",0.856,"MAB",NA
"756",2020,"GLORYS12_intensity_var",0.11445,"MAB",NA
"757",1993,"GLORYS12_intensity_cumulative",0,"MAB",NA
"758",1994,"GLORYS12_intensity_cumulative",0,"MAB",NA
"759",1995,"GLORYS12_intensity_cumulative",30.2449,"MAB",NA
"760",1996,"GLORYS12_intensity_cumulative",0,"MAB",NA
"761",1997,"GLORYS12_intensity_cumulative",9.86855,"MAB",NA
"762",1998,"GLORYS12_intensity_cumulative",0,"MAB",NA
"763",1999,"GLORYS12_intensity_cumulative",95.7601333333333,"MAB",NA
"764",2000,"GLORYS12_intensity_cumulative",30.4482666666667,"MAB",NA
"765",2001,"GLORYS12_intensity_cumulative",19.7164333333333,"MAB",NA
"766",2002,"GLORYS12_intensity_cumulative",60.85415,"MAB",NA
"767",2003,"GLORYS12_intensity_cumulative",0,"MAB",NA
"768",2004,"GLORYS12_intensity_cumulative",0,"MAB",NA
"769",2005,"GLORYS12_intensity_cumulative",6.4734,"MAB",NA
"770",2006,"GLORYS12_intensity_cumulative",22.7808428571429,"MAB",NA
"771",2007,"GLORYS12_intensity_cumulative",54.6169,"MAB",NA
"772",2008,"GLORYS12_intensity_cumulative",0,"MAB",NA
"773",2009,"GLORYS12_intensity_cumulative",77.537,"MAB",NA
"774",2010,"GLORYS12_intensity_cumulative",0,"MAB",NA
"775",2011,"GLORYS12_intensity_cumulative",83.1568,"MAB",NA
"776",2012,"GLORYS12_intensity_cumulative",581.742,"MAB",NA
"777",2013,"GLORYS12_intensity_cumulative",58.75025,"MAB",NA
"778",2014,"GLORYS12_intensity_cumulative",319.4797,"MAB",NA
"779",2015,"GLORYS12_intensity_cumulative",499.564,"MAB",NA
"780",2016,"GLORYS12_intensity_cumulative",62.918075,"MAB",NA
"781",2017,"GLORYS12_intensity_cumulative",51.48785,"MAB",NA
"782",2018,"GLORYS12_intensity_cumulative",0,"MAB",NA
"783",2019,"GLORYS12_intensity_cumulative",328.62,"MAB",NA
"784",2020,"GLORYS12_intensity_cumulative",41.976975,"MAB",NA
"785",1993,"GLORYS12_intensity_mean_relThresh",0,"MAB",NA
"786",1994,"GLORYS12_intensity_mean_relThresh",0,"MAB",NA
"787",1995,"GLORYS12_intensity_mean_relThresh",0.2046,"MAB",NA
"788",1996,"GLORYS12_intensity_mean_relThresh",0,"MAB",NA
"789",1997,"GLORYS12_intensity_mean_relThresh",0.127,"MAB",NA
"790",1998,"GLORYS12_intensity_mean_relThresh",0,"MAB",NA
"791",1999,"GLORYS12_intensity_mean_relThresh",0.2963,"MAB",NA
"792",2000,"GLORYS12_intensity_mean_relThresh",0.379666666666667,"MAB",NA
"793",2001,"GLORYS12_intensity_mean_relThresh",0.158966666666667,"MAB",NA
"794",2002,"GLORYS12_intensity_mean_relThresh",0.20145,"MAB",NA
"795",2003,"GLORYS12_intensity_mean_relThresh",0,"MAB",NA
"796",2004,"GLORYS12_intensity_mean_relThresh",0,"MAB",NA
"797",2005,"GLORYS12_intensity_mean_relThresh",0.0154,"MAB",NA
"798",2006,"GLORYS12_intensity_mean_relThresh",0.211785714285714,"MAB",NA
"799",2007,"GLORYS12_intensity_mean_relThresh",0.5123,"MAB",NA
"800",2008,"GLORYS12_intensity_mean_relThresh",0,"MAB",NA
"801",2009,"GLORYS12_intensity_mean_relThresh",0.2856,"MAB",NA
"802",2010,"GLORYS12_intensity_mean_relThresh",0,"MAB",NA
"803",2011,"GLORYS12_intensity_mean_relThresh",0.4548,"MAB",NA
"804",2012,"GLORYS12_intensity_mean_relThresh",1.1867,"MAB",NA
"805",2013,"GLORYS12_intensity_mean_relThresh",0.2731,"MAB",NA
"806",2014,"GLORYS12_intensity_mean_relThresh",0.9733,"MAB",NA
"807",2015,"GLORYS12_intensity_mean_relThresh",1.2416,"MAB",NA
"808",2016,"GLORYS12_intensity_mean_relThresh",0.3522,"MAB",NA
"809",2017,"GLORYS12_intensity_mean_relThresh",0.18625,"MAB",NA
"810",2018,"GLORYS12_intensity_mean_relThresh",0,"MAB",NA
"811",2019,"GLORYS12_intensity_mean_relThresh",1.5803,"MAB",NA
"812",2020,"GLORYS12_intensity_mean_relThresh",0.254075,"MAB",NA
"813",1993,"GLORYS12_intensity_max_relThresh",0,"MAB",NA
"814",1994,"GLORYS12_intensity_max_relThresh",0,"MAB",NA
"815",1995,"GLORYS12_intensity_max_relThresh",0.5107,"MAB",NA
"816",1996,"GLORYS12_intensity_max_relThresh",0,"MAB",NA
"817",1997,"GLORYS12_intensity_max_relThresh",0.2225,"MAB",NA
"818",1998,"GLORYS12_intensity_max_relThresh",0,"MAB",NA
"819",1999,"GLORYS12_intensity_max_relThresh",0.534633333333333,"MAB",NA
"820",2000,"GLORYS12_intensity_max_relThresh",0.5835,"MAB",NA
"821",2001,"GLORYS12_intensity_max_relThresh",0.278433333333333,"MAB",NA
"822",2002,"GLORYS12_intensity_max_relThresh",0.40785,"MAB",NA
"823",2003,"GLORYS12_intensity_max_relThresh",0,"MAB",NA
"824",2004,"GLORYS12_intensity_max_relThresh",0,"MAB",NA
"825",2005,"GLORYS12_intensity_max_relThresh",0.0235,"MAB",NA
"826",2006,"GLORYS12_intensity_max_relThresh",0.330871428571429,"MAB",NA
"827",2007,"GLORYS12_intensity_max_relThresh",0.858,"MAB",NA
"828",2008,"GLORYS12_intensity_max_relThresh",0,"MAB",NA
"829",2009,"GLORYS12_intensity_max_relThresh",0.7006,"MAB",NA
"830",2010,"GLORYS12_intensity_max_relThresh",0,"MAB",NA
"831",2011,"GLORYS12_intensity_max_relThresh",0.7565,"MAB",NA
"832",2012,"GLORYS12_intensity_max_relThresh",2.2551,"MAB",NA
"833",2013,"GLORYS12_intensity_max_relThresh",0.46855,"MAB",NA
"834",2014,"GLORYS12_intensity_max_relThresh",1.4986,"MAB",NA
"835",2015,"GLORYS12_intensity_max_relThresh",2.3851,"MAB",NA
"836",2016,"GLORYS12_intensity_max_relThresh",0.617175,"MAB",NA
"837",2017,"GLORYS12_intensity_max_relThresh",0.3924,"MAB",NA
"838",2018,"GLORYS12_intensity_max_relThresh",0,"MAB",NA
"839",2019,"GLORYS12_intensity_max_relThresh",2.9804,"MAB",NA
"840",2020,"GLORYS12_intensity_max_relThresh",0.4716,"MAB",NA
"841",1993,"GLORYS12_intensity_var_relThresh",0,"MAB",NA
"842",1994,"GLORYS12_intensity_var_relThresh",0,"MAB",NA
"843",1995,"GLORYS12_intensity_var_relThresh",0.14915,"MAB",NA
"844",1996,"GLORYS12_intensity_var_relThresh",0,"MAB",NA
"845",1997,"GLORYS12_intensity_var_relThresh",0.08115,"MAB",NA
"846",1998,"GLORYS12_intensity_var_relThresh",0,"MAB",NA
"847",1999,"GLORYS12_intensity_var_relThresh",0.139633333333333,"MAB",NA
"848",2000,"GLORYS12_intensity_var_relThresh",0.190533333333333,"MAB",NA
"849",2001,"GLORYS12_intensity_var_relThresh",0.0770666666666667,"MAB",NA
"850",2002,"GLORYS12_intensity_var_relThresh",0.1118,"MAB",NA
"851",2003,"GLORYS12_intensity_var_relThresh",0,"MAB",NA
"852",2004,"GLORYS12_intensity_var_relThresh",0,"MAB",NA
"853",2005,"GLORYS12_intensity_var_relThresh",0.0062,"MAB",NA
"854",2006,"GLORYS12_intensity_var_relThresh",0.0875285714285714,"MAB",NA
"855",2007,"GLORYS12_intensity_var_relThresh",0.2778,"MAB",NA
"856",2008,"GLORYS12_intensity_var_relThresh",0,"MAB",NA
"857",2009,"GLORYS12_intensity_var_relThresh",0.2263,"MAB",NA
"858",2010,"GLORYS12_intensity_var_relThresh",0,"MAB",NA
"859",2011,"GLORYS12_intensity_var_relThresh",0.2116,"MAB",NA
"860",2012,"GLORYS12_intensity_var_relThresh",0.6199,"MAB",NA
"861",2013,"GLORYS12_intensity_var_relThresh",0.1255,"MAB",NA
"862",2014,"GLORYS12_intensity_var_relThresh",0.304,"MAB",NA
"863",2015,"GLORYS12_intensity_var_relThresh",0.4468,"MAB",NA
"864",2016,"GLORYS12_intensity_var_relThresh",0.1853,"MAB",NA
"865",2017,"GLORYS12_intensity_var_relThresh",0.0964,"MAB",NA
"866",2018,"GLORYS12_intensity_var_relThresh",0,"MAB",NA
"867",2019,"GLORYS12_intensity_var_relThresh",0.8267,"MAB",NA
"868",2020,"GLORYS12_intensity_var_relThresh",0.115675,"MAB",NA
"869",1993,"GLORYS12_intensity_cumulative_relThresh",0,"MAB",NA
"870",1994,"GLORYS12_intensity_cumulative_relThresh",0,"MAB",NA
"871",1995,"GLORYS12_intensity_cumulative_relThresh",4.09635,"MAB",NA
"872",1996,"GLORYS12_intensity_cumulative_relThresh",0,"MAB",NA
"873",1997,"GLORYS12_intensity_cumulative_relThresh",0.7618,"MAB",NA
"874",1998,"GLORYS12_intensity_cumulative_relThresh",0,"MAB",NA
"875",1999,"GLORYS12_intensity_cumulative_relThresh",25.9095,"MAB",NA
"876",2000,"GLORYS12_intensity_cumulative_relThresh",5.93163333333333,"MAB",NA
"877",2001,"GLORYS12_intensity_cumulative_relThresh",1.6492,"MAB",NA
"878",2002,"GLORYS12_intensity_cumulative_relThresh",12.173525,"MAB",NA
"879",2003,"GLORYS12_intensity_cumulative_relThresh",0,"MAB",NA
"880",2004,"GLORYS12_intensity_cumulative_relThresh",0,"MAB",NA
"881",2005,"GLORYS12_intensity_cumulative_relThresh",0.0925,"MAB",NA
"882",2006,"GLORYS12_intensity_cumulative_relThresh",3.07074285714286,"MAB",NA
"883",2007,"GLORYS12_intensity_cumulative_relThresh",12.8081,"MAB",NA
"884",2008,"GLORYS12_intensity_cumulative_relThresh",0,"MAB",NA
"885",2009,"GLORYS12_intensity_cumulative_relThresh",14.2782,"MAB",NA
"886",2010,"GLORYS12_intensity_cumulative_relThresh",0,"MAB",NA
"887",2011,"GLORYS12_intensity_cumulative_relThresh",18.1901,"MAB",NA
"888",2012,"GLORYS12_intensity_cumulative_relThresh",267.0129,"MAB",NA
"889",2013,"GLORYS12_intensity_cumulative_relThresh",11.66695,"MAB",NA
