"","Year","Variable","Val","ScaleType","ScaleName","ScaleName2","ScaleName3"
"138",1959,"Landings_KG",526305700,"State","Virginia","MAFMC","NES_LME_states"
"139",1959,"Landings_KG",10810000,"State","Connecticut","NEFMC","NES_LME_states"
"140",1959,"Landings_KG",117793200,"State","Rhode Island","NEFMC","NES_LME_states"
"141",1960,"Landings_KG",366684500,"State","Virginia","MAFMC","NES_LME_states"
"142",1960,"Landings_KG",480421300,"State","Massachusetts","NEFMC","NES_LME_states"
"143",1960,"Landings_KG",69318200,"State","Rhode Island","NEFMC","NES_LME_states"
"144",1960,"Landings_KG",284227600,"State","Delaware","MAFMC","NES_LME_states"
"145",1960,"Landings_KG",126521500,"State","New York","MAFMC","NES_LME_states"
"146",1960,"Landings_KG",1188500,"State","New Hampshire","NEFMC","NES_LME_states"
"147",1960,"Landings_KG",69112600,"State","Maryland","MAFMC","NES_LME_states"
"148",1960,"Landings_KG",294640600,"State","Maine","NEFMC","NES_LME_states"
"149",1960,"Landings_KG",6396500,"State","Connecticut","NEFMC","NES_LME_states"
"150",1960,"Landings_KG",265248200,"State","North Carolina","MAFMC","NES_LME_states"
"151",1960,"Landings_KG",373687600,"State","New Jersey","MAFMC","NES_LME_states"
"152",1961,"Landings_KG",84046400,"State","Rhode Island","NEFMC","NES_LME_states"
"153",1961,"Landings_KG",1146500,"State","New Hampshire","NEFMC","NES_LME_states"
"154",1961,"Landings_KG",66491900,"State","Maryland","MAFMC","NES_LME_states"
"155",1961,"Landings_KG",470773500,"State","Massachusetts","NEFMC","NES_LME_states"
"156",1961,"Landings_KG",6141800,"State","Connecticut","NEFMC","NES_LME_states"
"157",1961,"Landings_KG",198184100,"State","Maine","NEFMC","NES_LME_states"
"158",1961,"Landings_KG",396751600,"State","New Jersey","MAFMC","NES_LME_states"
"159",1961,"Landings_KG",304680200,"State","Delaware","MAFMC","NES_LME_states"
"160",1961,"Landings_KG",124907900,"State","New York","MAFMC","NES_LME_states"
"161",1961,"Landings_KG",411414000,"State","Virginia","MAFMC","NES_LME_states"
"162",1961,"Landings_KG",286750800,"State","North Carolina","MAFMC","NES_LME_states"
"163",1962,"Landings_KG",294323200,"State","Maine","NEFMC","NES_LME_states"
"164",1962,"Landings_KG",6016500,"State","Connecticut","NEFMC","NES_LME_states"
"165",1962,"Landings_KG",493413700,"State","Massachusetts","NEFMC","NES_LME_states"
"166",1962,"Landings_KG",67573700,"State","Maryland","MAFMC","NES_LME_states"
"167",1962,"Landings_KG",1089300,"State","New Hampshire","NEFMC","NES_LME_states"
"168",1962,"Landings_KG",446929200,"State","New Jersey","MAFMC","NES_LME_states"
"169",1962,"Landings_KG",271686400,"State","Delaware","MAFMC","NES_LME_states"
"170",1962,"Landings_KG",225759300,"State","New York","MAFMC","NES_LME_states"
"171",1962,"Landings_KG",76839100,"State","Rhode Island","NEFMC","NES_LME_states"
"172",1962,"Landings_KG",182384200,"State","North Carolina","MAFMC","NES_LME_states"
"173",1962,"Landings_KG",453033000,"State","Virginia","MAFMC","NES_LME_states"
"174",1963,"Landings_KG",55462100,"State","Maryland","MAFMC","NES_LME_states"
"175",1963,"Landings_KG",256651700,"State","North Carolina","MAFMC","NES_LME_states"
"176",1963,"Landings_KG",467692700,"State","Massachusetts","NEFMC","NES_LME_states"
"177",1963,"Landings_KG",191255700,"State","New York","MAFMC","NES_LME_states"
"178",1963,"Landings_KG",104187800,"State","Delaware","MAFMC","NES_LME_states"
"179",1963,"Landings_KG",1201200,"State","New Hampshire","NEFMC","NES_LME_states"
"180",1963,"Landings_KG",5047400,"State","Connecticut","NEFMC","NES_LME_states"
"181",1963,"Landings_KG",255020400,"State","New Jersey","MAFMC","NES_LME_states"
"182",1963,"Landings_KG",374746100,"State","Virginia","MAFMC","NES_LME_states"
"183",1963,"Landings_KG",69311800,"State","Rhode Island","NEFMC","NES_LME_states"
"184",1963,"Landings_KG",285635900,"State","Maine","NEFMC","NES_LME_states"
"185",1964,"Landings_KG",446495000,"State","Massachusetts","NEFMC","NES_LME_states"
"186",1964,"Landings_KG",70827600,"State","Maryland","MAFMC","NES_LME_states"
"187",1964,"Landings_KG",465767900,"State","Virginia","MAFMC","NES_LME_states"
"188",1964,"Landings_KG",33839000,"State","Delaware","MAFMC","NES_LME_states"
"189",1964,"Landings_KG",4649700,"State","Connecticut","NEFMC","NES_LME_states"
"190",1964,"Landings_KG",197022100,"State","New York","MAFMC","NES_LME_states"
"191",1964,"Landings_KG",238579200,"State","North Carolina","MAFMC","NES_LME_states"
"192",1964,"Landings_KG",36928100,"State","Rhode Island","NEFMC","NES_LME_states"
"193",1964,"Landings_KG",192574590,"State","Maine","NEFMC","NES_LME_states"
"194",1964,"Landings_KG",1208900,"State","New Hampshire","NEFMC","NES_LME_states"
"195",1964,"Landings_KG",139362300,"State","New Jersey","MAFMC","NES_LME_states"
"196",1965,"Landings_KG",233960600,"State","North Carolina","MAFMC","NES_LME_states"
"197",1965,"Landings_KG",4927000,"State","Connecticut","NEFMC","NES_LME_states"
"198",1965,"Landings_KG",48048900,"State","Delaware","MAFMC","NES_LME_states"
"199",1965,"Landings_KG",442429900,"State","Massachusetts","NEFMC","NES_LME_states"
"200",1965,"Landings_KG",48705800,"State","Rhode Island","NEFMC","NES_LME_states"
"201",1965,"Landings_KG",160439500,"State","New Jersey","MAFMC","NES_LME_states"
"202",1965,"Landings_KG",86671900,"State","Maryland","MAFMC","NES_LME_states"
"203",1965,"Landings_KG",204846476,"State","Maine","NEFMC","NES_LME_states"
"204",1965,"Landings_KG",504862200,"State","Virginia","MAFMC","NES_LME_states"
"205",1965,"Landings_KG",1272500,"State","New Hampshire","NEFMC","NES_LME_states"
"206",1965,"Landings_KG",147462500,"State","New York","MAFMC","NES_LME_states"
"207",1966,"Landings_KG",409744200,"State","Massachusetts","NEFMC","NES_LME_states"
"208",1966,"Landings_KG",83309300,"State","Maryland","MAFMC","NES_LME_states"
"209",1966,"Landings_KG",418379900,"State","Virginia","MAFMC","NES_LME_states"
"210",1966,"Landings_KG",64113100,"State","New York","MAFMC","NES_LME_states"
"211",1966,"Landings_KG",5525900,"State","Delaware","MAFMC","NES_LME_states"
"212",1966,"Landings_KG",250931500,"State","North Carolina","MAFMC","NES_LME_states"
"213",1966,"Landings_KG",4885000,"State","Connecticut","NEFMC","NES_LME_states"
"214",1966,"Landings_KG",98273100,"State","New Jersey","MAFMC","NES_LME_states"
"215",1966,"Landings_KG",1265500,"State","New Hampshire","NEFMC","NES_LME_states"
"216",1966,"Landings_KG",68088300,"State","Rhode Island","NEFMC","NES_LME_states"
"217",1966,"Landings_KG",200391800,"State","Maine","NEFMC","NES_LME_states"
"218",1967,"Landings_KG",345621000,"State","Massachusetts","NEFMC","NES_LME_states"
"219",1967,"Landings_KG",225087800,"State","North Carolina","MAFMC","NES_LME_states"
"220",1967,"Landings_KG",74666300,"State","Maryland","MAFMC","NES_LME_states"
"221",1967,"Landings_KG",4767700,"State","Connecticut","NEFMC","NES_LME_states"
"222",1967,"Landings_KG",347651000,"State","Virginia","MAFMC","NES_LME_states"
"223",1967,"Landings_KG",865200,"State","Delaware","MAFMC","NES_LME_states"
"224",1967,"Landings_KG",76347300,"State","Rhode Island","NEFMC","NES_LME_states"
"225",1967,"Landings_KG",37509300,"State","New York","MAFMC","NES_LME_states"
"226",1967,"Landings_KG",1166200,"State","New Hampshire","NEFMC","NES_LME_states"
"227",1967,"Landings_KG",123687800,"State","New Jersey","MAFMC","NES_LME_states"
"228",1967,"Landings_KG",197437800,"State","Maine","NEFMC","NES_LME_states"
"229",1968,"Landings_KG",55788200,"State","Maryland","MAFMC","NES_LME_states"
"230",1968,"Landings_KG",232178900,"State","North Carolina","MAFMC","NES_LME_states"
"231",1968,"Landings_KG",5469300,"State","Connecticut","NEFMC","NES_LME_states"
"232",1968,"Landings_KG",382070200,"State","Virginia","MAFMC","NES_LME_states"
"233",1968,"Landings_KG",673200,"State","Delaware","MAFMC","NES_LME_states"
"234",1968,"Landings_KG",59487900,"State","New York","MAFMC","NES_LME_states"
"235",1968,"Landings_KG",71024400,"State","Rhode Island","NEFMC","NES_LME_states"
"236",1968,"Landings_KG",338280400,"State","Massachusetts","NEFMC","NES_LME_states"
"237",1968,"Landings_KG",126369000,"State","New Jersey","MAFMC","NES_LME_states"
"238",1968,"Landings_KG",1243600,"State","New Hampshire","NEFMC","NES_LME_states"
"239",1968,"Landings_KG",218731300,"State","Maine","NEFMC","NES_LME_states"
