#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 03 19 50 288 17.3 20.7  6.58  9.09  7.65 999  995.3  -0.9  12.3  -4.2 99.0 99.00
2010 01 03 20 50 299 16.2 20.2  5.65  9.09  7.20 999  996.3  -0.6  12.3  -3.9 99.0 99.00
2010 01 03 21 50 303 17.0 20.8  5.82  8.33  7.35 999  996.8  -0.6  12.3  -3.2 99.0 99.00
2010 01 03 22 50 306 16.9 21.7  5.44  9.09  7.27 999  997.7  -0.5  12.3  -2.9 99.0 99.00
2010 01 03 23 50 304 17.1 20.1  5.24  9.09  7.24 999  998.5  -0.8  12.4  -3.3 99.0 99.00
2010 01 04 00 50 308 16.4 20.2  4.79  8.33  6.90 999  998.9  -0.6  12.4  -2.8 99.0 99.00
2010 01 04 01 50 302 16.4 19.9  4.86  8.33  6.88 999  999.4  -0.5  12.4  -2.9 99.0 99.00
2010 01 04 02 50 302 15.6 18.3  5.02  7.69  6.82 999 1000.1  -0.4  12.4  -3.0 99.0 99.00
2010 01 04 03 50 308 14.7 19.0  4.47  9.09  6.63 999 1000.6  -0.3  12.4  -2.8 99.0 99.00
2010 01 04 04 50 306 14.9 18.8  4.53  8.33  6.78 999 1000.7  -0.3  12.4  -2.9 99.0 99.00
2010 01 04 05 50 309 14.4 18.1  4.47  8.33  6.52 999 1001.0   0.0  12.3  -2.6 99.0 99.00
2010 01 04 06 50 304 14.2 17.2  3.58  8.33  6.11 999 1001.7   0.2  12.3  -2.3 99.0 99.00
2010 01 04 07 50 308 13.8 16.8  3.65  7.14  6.07 999 1002.1   0.4  12.3  -2.1 99.0 99.00
2010 01 04 08 50 309 13.5 16.9  3.33  8.33  5.87 999 1002.3   0.5  12.3  -2.1 99.0 99.00
2010 01 04 09 50 309 12.6 15.3  3.32  7.14  5.94 999 1002.8   0.4  12.3  -2.2 99.0 99.00
2010 01 04 10 50 302 12.6 15.9  3.23  8.33  5.99 999 1003.3   0.8  12.3  -1.5 99.0 99.00
2010 01 04 11 50 305 11.6 15.1  3.20  7.69  5.99 999 1004.3   0.9  12.3  -1.2 99.0 99.00
2010 01 04 12 50 305 12.1 14.3  3.04  7.69  5.87 999 1004.4   0.6  12.3  -1.6 99.0 99.00
2010 01 04 13 50 314 11.4 14.4  2.84  7.69  5.79 999 1004.6   0.9  12.3  -1.3 99.0 99.00
2010 01 04 14 50 306 11.2 13.8  2.40  7.14  5.24 999 1005.1   1.0  12.3  -1.2 99.0 99.00
2010 01 04 15 50 306 10.2 13.2  2.39  6.67  5.26 999 1004.7   0.9  12.3  -1.6 99.0 99.00
2010 01 04 16 50 293  9.9 12.6  2.48  6.67  5.26 999 1004.3   1.2  12.4  -1.3 99.0 99.00
2010 01 04 17 50 291 10.7 13.1  1.98  6.67  4.88 999 1004.1   1.1  12.3  -1.6 99.0 99.00
2010 01 04 18 50 290 10.5 13.0  2.14  6.67  4.94 999 1004.1   1.0  12.2  -2.0 99.0 99.00
2010 01 04 19 50 285 10.3 12.9  2.12  6.25  4.83 999 1004.4   1.0  12.2  -2.4 99.0 99.00
2010 01 04 23 50 298 10.9 13.9  1.97  6.67  4.82 999 1005.5   2.0  12.2  -3.2 99.0 99.00
2010 01 05 00 50 289 10.8 13.0  2.04  6.25  4.87 999 1005.8   1.9  12.2  -3.0 99.0 99.00
2010 01 05 01 50 295 10.8 13.6  2.18  6.67  5.03 999 1005.9   1.5  12.2  -3.3 99.0 99.00
2010 01 05 02 50 298 10.9 13.3  2.37  6.67  5.22 999 1006.3   0.7  12.2  -3.8 99.0 99.00
2010 01 05 03 50 300 10.2 12.6  2.48  7.14  5.28 999 1006.5   0.4  12.2  -3.6 99.0 99.00
2010 01 05 04 50 285 10.2 13.4  2.47  6.67  5.23 999 1006.3   0.2  12.2  -4.0 99.0 99.00
