"","year","month","day","hour","Dp","DpDt","DsqP","Ege","Ely","Emg","Erg","Esp","area","centers","depth","id","lat","lon","p_cent","p_edge","p_grad","pid","ptid","radius","time","type","u","uv","v","x","y","strength"
"11639",2022,2,8,12,-0.875978922329377,-9.50436137446791,12.9476023287702,0,0,0,0,0,1151250,1,14,6,39.6833901103015,-68.810963299373,1001.09008863453,1015.09008863453,20.6876884193365,6,195,605.354653462819,44598.5,1,43.0352879818207,44.1435910328001,9.82957870881872,157,281,1
"11640",2022,2,13,12,NA,NA,5.98560068274252,3,0,0,0,0,625,1,0,5,37.5240762434241,-72.6081363918834,1014.95643076425,1014.95643076425,7.85401772780297,5,334,14.1047395886939,44603.5,1,NA,NA,NA,144,292,1
"11641",2022,2,13,18,-3.84035879450516,-43.8409198964506,6.35677705468828,0,0,0,0,0,1193750,1,6,6,37.3652479179487,-70.5248789670772,1009.96361484679,1015.96361484679,11.2362210090152,6,334,616.427146248363,44603.75,1,44.4572367713038,66.862659246263,49.9416589646571,146,284,1
"11642",2022,2,13,21,-3.35398955056415,-37.5786866100036,13.0656043337602,0,0,0,0,0,1458125,1,8,7,38.196402939665,-69.1284029302679,1006.60962529622,1014.60962529622,13.7207100721113,7,334,681.274983242259,44603.875,1,40.6778524222451,51.0268844964286,30.8067405566689,151,280,1
"11643",2022,2,14,0,-0.0122079543274594,-0.133107123981684,9.93904202633625,0,0,0,0,1,1341875,0,7.66013085031125,5,39.4512869215149,-67.4912711451039,1006.59741734189,1014.25754819221,14.2439991454236,4,334,653.553424383098,44604,2,46.8545274222178,66.0207209250507,46.5122441030753,158,276,1
"11644",2022,3,9,18,-2.62828394941753,-29.6521600449516,8.14956203341964,0,0,0,0,0,788750,1,6,7,37.8862939091047,-73.8266147503062,1006.62461605337,1012.62461605337,11.0068714696548,7,217,501.065786825907,44627.75,1,38.4604459724792,51.932824467288,34.8971682625992,144,297,1
"11645",2022,3,9,21,-1.93154730709968,-21.393320792828,6.53687751483863,0,0,0,0,0,504375,1,6,7,38.7210585889546,-71.4011152023697,1004.69306874627,1010.69306874627,12.463742688503,7,217,400.683851488863,44627.875,1,70.1388238118489,76.6601014467201,30.9405324471289,150,289,1
"11646",2022,3,10,0,0.186416041443736,2.02051891814553,11.1573567569723,0,0,0,0,0,776875,1,8,7,39.7326532993902,-68.2231073198169,1004.87948478772,1012.87948478772,13.5550480472435,7,217,497.279592210491,44628,1,90.5820747137372,98.0355408905712,37.4947332069692,158,279,1
"11647",2022,2,25,12,NA,NA,7.6722020541464,3,0,0,0,0,51875,1,2,5,39.01430093717,-73.2133956819741,1014.2149127876,1016.2149127876,12.9126303932441,5,639,128.500293173923,44615.5,1,NA,NA,NA,149,296,1
"11648",2022,2,25,15,-3.01212045289882,-32.4788308439003,15.0595430950433,0,0,2,0,0,1588125,2,12,5,39.9806416643164,-71.2295013998114,1011.2027923347,1023.2027923347,16.3888336399436,5,639,710.996405051131,44615.625,1,56.3443450178964,66.7650434761769,35.8173954228954,155,290,2
"11649",2022,2,25,18,-3.25106961827478,-34.5182726566908,9.67576972857336,0,0,0,0,1,2531250,3,16,5,40.7323247173856,-69.5226793523555,1007.95172271643,1023.95172271643,17.4369323825384,5,639,897.620130903224,44615.75,1,47.9380564366201,55.4463608114934,27.8611139819955,160,285,1
"11650",2022,3,3,6,NA,NA,5.11013992173059,3,0,0,0,0,336875,1,2,8,42.0037389884519,-72.7857810647032,1009.16969960861,1011.16969960861,8.78867373131348,8,71,327.460902869586,44621.25,1,NA,NA,NA,161,298,1
"11651",2022,3,3,9,-1.89123925962922,-19.292894068144,4.26510007837343,0,0,0,0,0,565625,1,4,6,42.7777460351972,-70.1484427302791,1007.27846034899,1011.27846034899,9.77376006348613,6,71,424.315954652552,44621.375,1,71.7470774525693,77.2701504713146,28.6885522617408,167,290,1
"11652",2022,4,6,9,-2.69038635626494,-30.7130190294402,11.7358079353081,0,0,0,0,0,317500,1,6,5,37.3652479179487,-74.7670717604001,997.94413565476,1003.94413565476,15.4074266061548,5,165,317.904685186226,44655.375,1,45.0393045202968,56.1468423401963,33.525049636098,141,300,1
